Fecha;"TIEMPO";"MJA-1-X";"MJA-1-Y";"MJA-1-Z";"MJA-2-X";"MJA-2-Y";"MJA-2-Z"
13/08/2015;13/08/2015 8:39:54;11,67;12,68;5,59;11,92;12,88;5,94
14/08/2015;14/08/2015 0:09:54;11,67;12,68;5,59;11,92;12,88;5,94
15/08/2015;15/08/2015 0:09:54;11,67;12,68;5,59;11,92;12,87;5,94
16/08/2015;16/08/2015 0:09:54;11,67;12,68;5,59;11,92;12,87;5,94
17/08/2015;17/08/2015 0:09:54;11,67;12,68;5,59;11,92;12,87;5,94
18/08/2015;18/08/2015 0:09:54;11,67;12,68;5,60;11,92;12,86;5,94
19/08/2015;19/08/2015 0:09:54;11,67;12,68;5,60;11,92;12,86;5,94
20/08/2015;20/08/2015 0:09:54;11,67;12,68;5,60;11,92;12,86;5,94
21/08/2015;21/08/2015 0:09:54;11,67;12,68;5,61;11,93;12,84;5,94
22/08/2015;22/08/2015 0:09:54;11,67;12,68;5,61;11,93;12,84;5,94
23/08/2015;23/08/2015 0:09:54;11,67;12,68;5,61;11,92;12,83;5,94
24/08/2015;24/08/2015 0:09:54;11,66;12,68;5,61;11,92;12,83;5,93
25/08/2015;25/08/2015 0:09:54;11,66;12,68;5,61;11,92;12,83;5,92
26/08/2015;26/08/2015 0:09:54;11,66;12,68;5,61;11,92;12,83;5,92
27/08/2015;27/08/2015 0:09:54;11,66;12,68;5,61;11,93;12,83;5,93
28/08/2015;28/08/2015 0:09:54;11,66;12,68;5,62;11,93;12,82;5,92
29/08/2015;29/08/2015 0:09:54;11,67;12,68;5,62;11,93;12,83;5,93
30/08/2015;30/08/2015 0:09:54;11,66;12,68;5,62;11,93;12,82;5,93
31/08/2015;31/08/2015 0:09:54;11,66;12,68;5,62;11,93;12,82;5,92
01/09/2015;01/09/2015 0:09:54;11,66;12,68;5,62;11,92;12,82;5,91
02/09/2015;02/09/2015 0:09:54;11,66;12,68;5,62;11,92;12,82;5,90
03/09/2015;03/09/2015 0:09:54;11,66;12,68;5,62;11,92;12,81;5,90
04/09/2015;04/09/2015 0:09:54;11,66;12,68;5,62;11,92;12,81;5,90
05/09/2015;05/09/2015 0:09:54;11,66;12,68;5,62;11,92;12,81;5,90
06/09/2015;06/09/2015 0:09:54;11,66;12,68;5,62;11,92;12,81;5,90
07/09/2015;07/09/2015 0:09:54;11,66;12,68;5,62;11,92;12,81;5,90
08/09/2015;08/09/2015 0:09:54;11,66;12,68;5,63;11,92;12,81;5,91
09/09/2015;09/09/2015 0:09:54;11,66;12,68;5,63;11,92;12,79;5,91
10/09/2015;10/09/2015 0:09:54;11,66;12,68;5,63;11,93;12,79;5,91
11/09/2015;11/09/2015 0:09:54;11,66;12,68;5,63;11,92;12,79;5,91
12/09/2015;12/09/2015 0:09:54;11,66;12,68;5,63;11,92;12,79;5,91
13/09/2015;13/09/2015 0:09:54;11,66;12,68;5,63;11,92;12,79;5,91
14/09/2015;14/09/2015 0:09:54;11,66;12,68;5,63;11,92;12,78;5,90
15/09/2015;15/09/2015 0:09:54;11,66;12,68;5,63;11,92;12,78;5,90
16/09/2015;16/09/2015 0:09:54;11,66;12,68;5,63;11,92;12,78;5,90
17/09/2015;17/09/2015 0:09:54;11,66;12,68;5,64;11,92;12,78;5,91
18/09/2015;18/09/2015 0:09:54;11,66;12,68;5,64;11,92;12,78;5,91
19/09/2015;19/09/2015 0:09:54;11,66;12,68;5,64;11,92;12,78;5,91
20/09/2015;20/09/2015 0:09:54;11,66;12,68;5,64;11,92;12,79;5,92
21/09/2015;21/09/2015 0:09:54;11,66;12,68;5,65;11,92;12,79;5,92
22/09/2015;22/09/2015 0:09:54;11,66;12,68;5,65;11,92;12,79;5,92
23/09/2015;23/09/2015 0:09:54;11,66;12,68;5,65;11,92;12,78;5,92
24/09/2015;24/09/2015 0:09:54;11,66;12,68;5,65;11,92;12,78;5,92
25/09/2015;25/09/2015 0:09:54;11,66;12,68;5,65;11,92;12,78;5,92
26/09/2015;26/09/2015 0:09:54;11,66;12,68;5,65;11,92;12,78;5,92
27/09/2015;27/09/2015 0:08:40;11,66;12,68;5,65;11,92;12,78;5,92
28/09/2015;28/09/2015 0:08:40;11,66;12,68;5,65;11,92;12,76;5,92
29/09/2015;29/09/2015 0:08:40;11,66;12,68;5,66;11,92;12,76;5,92
30/09/2015;30/09/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
01/10/2015;01/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
02/10/2015;02/10/2015 0:08:40;11,66;12,68;5,66;11,92;12,76;5,92
03/10/2015;03/10/2015 0:08:40;11,66;12,68;5,66;11,92;12,76;5,92
04/10/2015;04/10/2015 0:08:40;11,66;12,68;5,66;11,92;12,76;5,92
05/10/2015;05/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,76;5,92
06/10/2015;06/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
07/10/2015;07/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
08/10/2015;08/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
09/10/2015;09/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
10/10/2015;10/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
11/10/2015;11/10/2015 0:08:40;11,66;12,67;5,66;11,91;12,75;5,92
12/10/2015;12/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
13/10/2015;13/10/2015 0:08:40;11,66;12,67;5,66;11,91;12,75;5,92
14/10/2015;14/10/2015 0:08:40;11,66;12,67;5,66;11,91;12,75;5,92
15/10/2015;15/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
16/10/2015;16/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
17/10/2015;17/10/2015 0:08:40;11,66;12,67;5,66;11,92;12,75;5,92
18/10/2015;18/10/2015 0:08:40;11,66;12,67;5,66;11,91;12,75;5,92
19/10/2015;19/10/2015 0:08:40;11,66;12,67;5,66;11,91;12,75;5,92
20/10/2015;20/10/2015 0:08:40;11,66;12,67;5,66;11,91;12,75;5,92
21/10/2015;21/10/2015 0:08:40;11,66;12,67;5,66;11,91;12,75;5,92
22/10/2015;22/10/2015 0:08:40;11,66;12,67;5,66;11,91;12,75;5,92
23/10/2015;23/10/2015 0:01:32;11,66;12,67;5,66;11,91;12,75;5,92
24/10/2015;24/10/2015 0:01:32;11,66;12,67;5,66;11,91;12,75;5,92
25/10/2015;25/10/2015 0:01:32;11,66;12,67;5,66;11,91;12,75;5,92
26/10/2015;26/10/2015 0:01:32;11,66;12,67;5,66;11,91;12,75;5,92
27/10/2015;27/10/2015 0:01:32;11,66;12,67;5,66;11,91;12,75;5,92
28/10/2015;28/10/2015 0:01:32;11,66;12,67;5,65;11,91;12,75;5,92
29/10/2015;29/10/2015 0:01:32;11,65;12,67;5,65;11,91;12,75;5,92
30/10/2015;30/10/2015 0:01:32;11,66;12,67;5,65;11,91;12,75;5,92
31/10/2015;31/10/2015 0:01:32;11,66;12,67;5,65;11,91;12,75;5,92
01/11/2015;01/11/2015 0:01:32;11,66;12,67;5,65;11,91;12,75;5,92
02/11/2015;02/11/2015 0:01:32;11,65;12,67;5,65;11,91;12,75;5,92
03/11/2015;03/11/2015 0:01:32;11,65;12,66;5,64;11,90;12,74;5,92
04/11/2015;04/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
05/11/2015;05/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
06/11/2015;06/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
07/11/2015;07/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
08/11/2015;08/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
09/11/2015;09/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
10/11/2015;10/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
11/11/2015;11/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
12/11/2015;12/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
13/11/2015;13/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
14/11/2015;14/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
15/11/2015;15/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
16/11/2015;16/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
17/11/2015;17/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,74;5,92
18/11/2015;18/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,75;5,92
19/11/2015;19/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,74;5,92
20/11/2015;20/11/2015 0:01:32;11,64;12,66;5,64;11,90;12,74;5,91
21/11/2015;21/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,74;5,92
22/11/2015;22/11/2015 0:01:32;11,65;12,66;5,64;11,91;12,74;5,92
23/11/2015;23/11/2015 0:01:32;11,64;12,65;5,64;11,90;12,74;5,91
24/11/2015;24/11/2015 0:01:32;11,64;12,65;5,64;11,91;12,73;5,91
25/11/2015;25/11/2015 0:01:32;11,64;12,65;5,64;11,90;12,73;5,91
26/11/2015;26/11/2015 0:01:32;11,64;12,65;5,64;11,91;12,73;5,91
27/11/2015;27/11/2015 0:01:32;11,64;12,65;5,64;11,91;12,73;5,92
28/11/2015;28/11/2015 0:01:32;11,64;12,65;5,64;11,91;12,72;5,92
29/11/2015;29/11/2015 0:01:32;11,64;12,65;5,64;11,91;12,72;5,92
30/11/2015;30/11/2015 0:01:32;11,64;12,65;5,64;11,91;12,70;5,92
01/12/2015;01/12/2015 12:37:52;11,64;12,65;5,64;11,91;12,70;5,91
02/12/2015;02/12/2015 0:07:52;11,64;12,65;5,65;11,91;12,70;5,92
03/12/2015;03/12/2015 0:07:52;11,64;12,65;5,65;11,91;12,70;5,92
04/12/2015;04/12/2015 0:07:52;11,64;12,65;5,65;11,91;12,70;5,92
05/12/2015;05/12/2015 0:07:52;11,64;12,65;5,65;11,91;12,69;5,91
06/12/2015;06/12/2015 0:07:52;11,64;12,65;5,65;11,91;12,69;5,91
07/12/2015;07/12/2015 0:07:52;11,64;12,65;5,65;11,91;12,69;5,91
08/12/2015;08/12/2015 0:07:52;11,64;12,65;5,65;11,91;12,69;5,91
09/12/2015;09/12/2015 0:07:52;11,64;12,65;5,65;11,91;12,69;5,91
10/12/2015;10/12/2015 0:07:52;11,64;12,65;5,66;11,91;12,69;5,91
11/12/2015;11/12/2015 0:07:52;11,64;12,65;5,66;11,91;12,69;5,91
12/12/2015;12/12/2015 0:07:52;11,64;12,65;5,66;11,90;12,40;5,91
13/12/2015;13/12/2015 0:07:52;11,64;12,64;5,66;11,90;12,40;5,90
14/12/2015;14/12/2015 0:07:52;11,64;12,64;5,66;11,90;12,40;5,90
15/12/2015;15/12/2015 0:07:52;11,64;12,65;5,66;11,90;12,40;5,89
16/12/2015;16/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,88
17/12/2015;17/12/2015 0:07:52;11,64;12,64;5,66;11,90;12,40;5,87
18/12/2015;18/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,87
19/12/2015;19/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,87
20/12/2015;20/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,87
21/12/2015;21/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,87
22/12/2015;22/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,87
23/12/2015;23/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,86
24/12/2015;24/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,86
25/12/2015;25/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,86
26/12/2015;26/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,86
27/12/2015;27/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,86
28/12/2015;28/12/2015 0:07:52;11,64;12,64;5,66;11,91;12,40;5,86
29/12/2015;29/12/2015 0:07:52;11,64;12,64;5,67;11,91;12,40;5,86
30/12/2015;30/12/2015 0:07:52;11,64;12,64;5,67;11,91;12,40;5,85
31/12/2015;31/12/2015 0:07:52;11,64;12,64;5,67;11,91;12,40;5,84
01/01/2016;01/01/2016 0:07:52;11,64;12,64;5,67;11,91;12,40;5,84
02/01/2016;02/01/2016 0:07:52;11,64;12,64;5,67;11,91;12,40;5,84
03/01/2016;03/01/2016 0:07:52;11,64;12,64;5,67;11,91;12,40;5,84
04/01/2016;04/01/2016 0:07:52;11,64;12,64;5,67;11,91;12,40;5,83
05/01/2016;05/01/2016 0:07:52;11,64;12,64;5,67;11,91;12,40;5,83
06/01/2016;06/01/2016 0:07:52;11,64;12,64;5,66;11,91;12,40;5,82
07/01/2016;07/01/2016 0:07:52;11,64;12,64;5,66;11,91;12,40;5,82
08/01/2016;08/01/2016 0:07:52;11,64;12,64;5,66;11,92;12,40;5,82
09/01/2016;09/01/2016 0:07:52;11,64;12,64;5,66;11,92;12,40;5,82
10/01/2016;10/01/2016 0:07:52;11,64 u.;12,64 u.;5,66 u.;11,92 u.;12,40 u.;5,82 u.
11/01/2016;11/01/2016 0:07:52;11,64;12,64;5,66;11,92;12,40;5,81
12/01/2016;12/01/2016 0:07:52;11,64;12,64;5,66;11,91;12,40;5,81
13/01/2016;13/01/2016 0:07:52;11,64;12,64;5,66;11,91;12,40;5,81
14/01/2016;14/01/2016 0:07:52;11,64;12,64;5,66;11,92;12,40;5,80
15/01/2016;15/01/2016 0:07:52;11,64;12,64;5,66;11,92;12,40;5,80
16/01/2016;16/01/2016 0:07:52;11,64;12,64;5,66;11,92;12,40;5,80
17/01/2016;17/01/2016 0:07:52;11,64;12,64;5,66;11,92;12,40;5,77
18/01/2016;18/01/2016 0:07:52;11,64;12,64;5,65;11,92;12,40;5,78
19/01/2016;19/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,40;5,79
20/01/2016;20/01/2016 0:07:52;11,64;12,64;5,66;11,92;12,40;5,79
21/01/2016;21/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,40;5,79
22/01/2016;22/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,41;5,79
23/01/2016;23/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,41;5,79
24/01/2016;24/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,41;5,78
25/01/2016;25/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,41;5,77
26/01/2016;26/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,41;5,77
27/01/2016;27/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,41;5,77
28/01/2016;28/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,41;5,76
29/01/2016;29/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,40;5,76
30/01/2016;30/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,40;5,75
31/01/2016;31/01/2016 0:07:52;11,64;12,64;5,66;11,93;12,40;5,75
01/02/2016;01/02/2016 0:07:52;11,64;12,64;5,66;11,93;12,41;5,75
02/02/2016;02/02/2016 0:07:52;11,64;12,64;5,66;11,93;12,41;5,75
03/02/2016;03/02/2016 0:03:35;11,64;12,64;5,66;11,92;12,40;5,75
04/02/2016;04/02/2016 0:03:35;11,64;12,64;5,66;11,93;12,41;5,74
05/02/2016;05/02/2016 0:03:35;11,64;12,64;5,66;11,93;12,41;5,74
06/02/2016;06/02/2016 0:03:35;11,64;12,64;5,66;11,93;12,41;5,74
07/02/2016;07/02/2016 0:03:35;11,64;12,64;5,66;11,93;12,41;5,74
08/02/2016;08/02/2016 0:03:35;11,64;12,64;5,66;11,93;12,41;5,74
09/02/2016;09/02/2016 0:03:35;11,64;12,64;5,66;11,93;12,41;5,73
10/02/2016;10/02/2016 0:01:57;11,64;12,64;5,66;11,93;12,41;5,73
11/02/2016;11/02/2016 0:08:25;11,64;12,64;5,66;11,93;14,48;5,73
12/02/2016;12/02/2016 0:08:25;11,64;12,64;5,66;11,93;14,49;5,73
13/02/2016;13/02/2016 0:04:05;11,64;12,64;5,66;11,93;14,49;5,73
14/02/2016;14/02/2016 0:02:29;11,64;12,64;5,66;11,93;14,49;5,72
15/02/2016;15/02/2016 10:14:52;11,64;12,63;5,65;11,92;14,49;5,70
16/02/2016;16/02/2016 0:04:52;11,64;12,64;5,66;11,93;14,50;5,70
17/02/2016;17/02/2016 10:43:34;11,63;12,63;5,65;11,93;14,50;5,68
18/02/2016;18/02/2016 0:03:34;11,64;12,64;5,65;11,94;14,51;5,69
19/02/2016;19/02/2016 0:03:34;11,64;12,64;5,65;11,94;14,51;5,70
20/02/2016;20/02/2016 0:03:34;11,64;12,64;5,65;11,94;14,51;5,70
21/02/2016;21/02/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,70
22/02/2016;22/02/2016 0:03:34;11,64;12,64;5,66;11,94;14,52;5,70
23/02/2016;23/02/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,70
24/02/2016;24/02/2016 0:03:34;11,64;12,64;5,66;11,94;14,52;5,70
25/02/2016;25/02/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,69
26/02/2016;26/02/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,69
27/02/2016;27/02/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,68
28/02/2016;28/02/2016 0:03:34;11,64;12,64;5,65;11,93;14,51;5,68
29/02/2016;29/02/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,68
01/03/2016;01/03/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,68
02/03/2016;02/03/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,67
03/03/2016;03/03/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,67
04/03/2016;04/03/2016 0:03:34;11,64;12,64;5,65;11,94;14,52;5,67
